Id,SalePrice
1461,126987.11
1462,167406.94
1463,190637.45
1464,194707.58
1465,169124.11
1466,178360.44
1467,189423.31
1468,164051.61
1469,197350.36
1470,124201.64
1471,190613.78
1472,99492.164
1473,94422.875
1474,132984.77
1475,88798.26
1476,290951.06
1477,238309.94
1478,271707.1
1479,257869.1
1480,410035.44
1481,291514.16
1482,189738.22
1483,189861.98
1484,152096.3
1485,180383.84
1486,191824.88
1487,283493.1
1488,236899.44
1489,187214.69
1490,234199.78
1491,197764.81
1492,93448.58
1493,202070.73
1494,276246.06
1495,273312.22
1496,205595.47
1497,161493.14
1498,143096.52
1499,147024.5
1500,147797.92
1501,203675.8
1502,132961.45
1503,258781.94
1504,230577.2
1505,224892.08
1506,206748.69
1507,259136.81
1508,222860.66
1509,150776.5
1510,162966.31
1511,158566.53
1512,200363.75
1513,152921.95
1514,189737.97
1515,222623.4
1516,183252.19
1517,180217.2
1518,130002.1
1519,246833.94
1520,135283.48
1521,138877.75
1522,199075.2
1523,95491.92
1524,106918.61
1525,120166.42
1526,105200.44
1527,101276.766
1528,146323.42
1529,128277.19
1530,210524.19
1531,153444.75
1532,93586.33
1533,135596.66
1534,121950.6
1535,171519.16
1536,109045.54
1537,76819.06
1538,172173.78
1539,195224.48
1540,111333.08
1541,148732.45
1542,147662.55
1543,189442.86
1544,70984.65
1545,110722.77
1546,120369.97
1547,134764.45
1548,119716.8
1549,113411.68
1550,131194.9
1551,128571.875
1552,138627.78
1553,142988.06
1554,111154.44
1555,192193.1
1556,92059.3
1557,105745.125
1558,87561.29
1559,89072.67
1560,126387.125
1561,151515.39
1562,124180.414
1563,118401.82
1564,171864.16
1565,145963.38
1566,243167.34
1567,75866.1
1568,242513.94
1569,156255.1
1570,135955.05
1571,108257.77
1572,155323.4
1573,246761.45
1574,137866.19
1575,244178.58
1576,242792.7
1577,183765.86
1578,152071.0
1579,148397.86
1580,196655.34
1581,140301.27
1582,121522.67
1583,302489.47
1584,218154.12
1585,144753.64
1586,60308.137
1587,85766.56
1588,150152.03
1589,106805.484
1590,132665.7
1591,71096.17
1592,138440.6
1593,120821.35
1594,120144.734
1595,120499.664
1596,227012.22
1597,192982.84
1598,200664.84
1599,163670.12
1600,157989.8
1601,43794.07
1602,123177.99
1603,69758.625
1604,237031.2
1605,246965.94
1606,171452.53
1607,188739.95
1608,216073.27
1609,182304.31
1610,148007.36
1611,160523.81
1612,179198.44
1613,179027.6
1614,115876.74
1615,55886.773
1616,45633.33
1617,65472.684
1618,114255.86
1619,137948.16
1620,193217.92
1621,141202.67
1622,141724.72
1623,256368.53
1624,230184.05
1625,122016.87
1626,208810.5
1627,197326.88
1628,262014.05
1629,170864.38
1630,290845.9
1631,193893.27
1632,213474.27
1633,162249.06
1634,189084.98
1635,182530.34
1636,153877.47
1637,214572.72
1638,212468.64
1639,199013.95
1640,251598.06
1641,201986.78
1642,217276.6
1643,212767.03
1644,210093.16
1645,227702.61
1646,181494.14
1647,172656.75
1648,129839.59
1649,135640.22
1650,117909.38
1651,119323.35
1652,105549.86
1653,99345.55
1654,132882.77
1655,124211.47
1656,130225.83
1657,137208.19
1658,130489.72
1659,103817.31
1660,163662.86
1661,378311.06
1662,317475.6
1663,321370.8
1664,407059.84
1665,267670.25
1666,311113.66
1667,312319.9
1668,290843.72
1669,264995.34
1670,300465.6
1671,277555.66
1672,385910.72
1673,272897.78
1674,242615.28
1675,187597.6
1676,192098.12
1677,215816.47
1678,399293.28
1679,330351.44
1680,264898.75
1681,219330.2
1682,294699.34
1683,174317.23
1684,180068.92
1685,167058.23
1686,153675.78
1687,157506.03
1688,192785.89
1689,188755.25
1690,199406.34
1691,186883.25
1692,243147.36
1693,157761.38
1694,183104.66
1695,157535.95
